customer_id,gender,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,churn,source
W83230,Male,9,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-to-month,No,Credit Card (automatic),112.46,No,WGU
M791093,Female,1,Yes,Yes,None,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic Check,232.65,Yes,WGU
I440271,Female,5,Yes,No,None,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic Check,127.49,No,WGU
P325481,Female,14,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed Check,199.99,No,WGU
J68487,Male,22,Yes,Yes,None,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic Check,127.51,No,WGU
B724639,Female,7,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit Card (automatic),230.11,Yes,WGU
O779572,Female,6,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed Check,162.46,Yes,WGU
M771410,Male,6,Yes,No,None,No,No,No,No,No,No,Two year,No,Electronic Check,79.98,No,WGU
S281786,Female,6,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit Card (automatic),207.5,No,WGU
Z411399,Male,5,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,252.64,Yes,WGU
Z726484,Female,5,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic Check,159.96,No,WGU
Q314433,Male,4,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit Card (automatic),184.98,Yes,WGU
L712758,Female,2,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic Check,210.13,Yes,WGU
B652550,Female,5,Yes,Yes,None,No,Yes,Yes,Yes,No,No,One year,No,Electronic Check,160.01,No,WGU
H842993,Female,13,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic Check,149.96,No,WGU
U970048,Nonbinary,1,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank Transfer(automatic),139.96,No,WGU
F64095,Male,13,No,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank Transfer(automatic),162.48,No,WGU
J695377,Male,21,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic Check,139.99,No,WGU
Q291482,Male,6,Yes,Yes,None,Yes,Yes,No,Yes,No,No,One year,No,Electronic Check,150.01,No,WGU
K965510,Female,4,Yes,No,None,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed Check,130.0,Yes,WGU
B149716,Female,13,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,230.11,Yes,WGU
B179311,Female,10,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic Check,149.96,No,WGU
H548788,Female,12,Yes,No,None,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic Check,139.98,Yes,WGU
I714198,Male,15,No,No,None,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic Check,200.17,Yes,WGU
Y161235,Female,11,Yes,No,None,Yes,No,No,No,No,Yes,Two year,No,Credit Card (automatic),117.48,No,WGU
Y481533,Male,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Mailed Check,127.46,No,WGU
G569192,Male,18,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank Transfer(automatic),139.96,Yes,WGU
G581130,Female,20,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit Card (automatic),164.98,No,WGU
E814583,Male,11,Yes,Yes,None,No,Yes,No,No,Yes,No,Two year,No,Bank Transfer(automatic),159.96,No,WGU
R496936,Female,3,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit Card (automatic),164.97,Yes,WGU
B512858,Male,8,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic Check,124.98,No,WGU
A127838,Female,5,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank Transfer(automatic),215.16,Yes,WGU
L729864,Male,8,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank Transfer(automatic),232.62,Yes,WGU
K798028,Female,6,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic Check,107.5,No,WGU
S655334,Female,6,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,One year,No,Bank Transfer(automatic),157.48,No,WGU
N646505,Female,8,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),277.65,Yes,WGU
U452069,Male,18,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit Card (automatic),222.65,No,WGU
O697874,Female,32,Yes,No,None,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed Check,129.98,No,WGU
B675944,Female,24,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic Check,127.48,No,WGU
M985747,Male,22,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic Check,182.45,Yes,WGU
E607371,Female,10,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed Check,172.47,Yes,WGU
C656833,Male,1,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,230.11,Yes,WGU
Y672361,Female,2,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic Check,184.99,Yes,WGU
B230779,Male,7,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit Card (automatic),194.97,Yes,WGU
I953052,Female,19,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit Card (automatic),267.66,Yes,WGU
J192276,Male,8,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic Check,265.15,Yes,WGU
N375820,Female,8,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit Card (automatic),187.47,Yes,WGU
G307248,Male,11,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic Check,164.99,Yes,WGU
Z272036,Male,12,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One year,No,Credit Card (automatic),242.61,Yes,WGU
H19974,Female,8,No,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed Check,194.97,No,WGU
P555585,Male,17,No,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Two year,No,Credit Card (automatic),230.11,No,WGU
D460465,Male,4,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed Check,159.95,Yes,WGU
U602748,Male,14,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic Check,255.16,Yes,WGU
H856152,Male,19,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic Check,215.16,Yes,WGU
Y264144,Male,9,Yes,Yes,None,No,No,No,No,No,No,Two year,Yes,Bank Transfer(automatic),112.48,No,WGU
N39235,Male,2,Yes,No,None,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit Card (automatic),152.49,Yes,WGU
S433940,Male,10,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit Card (automatic),200.13,Yes,WGU
T626833,Female,7,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed Check,197.47,Yes,WGU
Z161414,Female,10,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed Check,267.66,Yes,WGU
T541594,Female,11,Yes,No,None,No,No,Yes,No,No,Yes,One year,No,Electronic Check,127.49,No,WGU
X637260,Male,7,Yes,No,None,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic Check,149.98,No,WGU
B363857,Male,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank Transfer(automatic),200.12,Yes,WGU
G453675,Male,7,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank Transfer(automatic),147.48,No,WGU
I288648,Female,18,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,One year,No,Bank Transfer(automatic),157.48,No,WGU
Y591911,Female,23,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,207.61,Yes,WGU
R360718,Male,6,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic Check,187.47,Yes,WGU
M922982,Male,10,Yes,Yes,None,No,No,No,Yes,No,No,Month-to-month,No,Electronic Check,124.99,No,WGU
H01215,Male,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic Check,139.96,No,WGU
U799377,Male,22,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank Transfer(automatic),207.48,Yes,WGU
G341241,Male,21,Yes,No,None,No,No,Yes,Yes,No,No,One year,No,Bank Transfer(automatic),105.01,No,WGU
Q675589,Female,16,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed Check,167.48,No,WGU
G06529,Male,2,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic Check,194.97,Yes,WGU
S333226,Male,6,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit Card (automatic),235.16,Yes,WGU
H104879,Female,4,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank Transfer(automatic),192.49,No,WGU
L593610,Nonbinary,21,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic Check,235.16,No,WGU
H228822,Female,23,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),159.95,No,WGU
S301010,Male,10,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed Check,222.63,Yes,WGU
Q843780,Female,1,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Bank Transfer(automatic),164.97,No,WGU
Q09894,Male,4,Yes,No,None,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed Check,92.5,No,WGU
E755897,Female,8,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic Check,182.44,Yes,WGU
Y425130,Female,10,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed Check,147.47,No,WGU
M238722,Male,10,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank Transfer(automatic),159.95,No,WGU
U357458,Male,5,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Two year,No,Credit Card (automatic),134.95,No,WGU
C884701,Male,3,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One year,Yes,Electronic Check,179.95,No,WGU
U888719,Male,9,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Two year,No,Electronic Check,179.98,No,WGU
V442014,Female,7,No,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed Check,222.63,Yes,WGU
G106600,Male,3,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank Transfer(automatic),207.48,Yes,WGU
F81860,Female,3,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit Card (automatic),124.98,Yes,WGU
P834547,Female,7,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic Check,159.95,Yes,WGU
L859969,Female,5,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic Check,179.95,Yes,WGU
R191104,Male,9,Yes,No,None,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed Check,152.49,Yes,WGU
W843152,Female,14,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed Check,169.94,No,WGU
C400987,Female,4,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic Check,149.99,No,WGU
B402928,Female,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit Card (automatic),94.97,No,WGU
Q150878,Male,7,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Month-to-month,No,Bank Transfer(automatic),157.47,No,WGU
O674680,Male,8,Yes,No,None,No,No,Yes,No,No,No,Month-to-month,No,Electronic Check,92.5,Yes,WGU
H940380,Female,4,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed Check,149.99,No,WGU
F533118,Female,16,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit Card (automatic),187.51,No,WGU
J720136,Nonbinary,22,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Two year,No,Electronic Check,159.93,No,WGU
I169796,Male,7,Yes,No,None,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic Check,140.0,No,WGU
Q904920,Male,3,Yes,No,None,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic Check,152.49,No,WGU
E590504,Female,3,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank Transfer(automatic),117.44,No,WGU
T912921,Male,15,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank Transfer(automatic),255.16,Yes,WGU
F729151,Female,9,Yes,No,None,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic Check,177.65,Yes,WGU
O865208,Male,15,Yes,Yes,None,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit Card (automatic),172.5,Yes,WGU
M469760,Male,2,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic Check,139.93,No,WGU
V368301,Male,2,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank Transfer(automatic),119.96,No,WGU
U630888,Female,7,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic Check,179.95,Yes,WGU
V627981,Female,7,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank Transfer(automatic),220.13,Yes,WGU
G503565,Female,12,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic Check,235.16,Yes,WGU
A549038,Male,5,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit Card (automatic),154.96,Yes,WGU
X368087,Female,2,Yes,No,None,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed Check,187.64,Yes,WGU
U497990,Female,8,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit Card (automatic),107.48,No,WGU
P455877,Female,2,Yes,No,None,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit Card (automatic),130.01,No,WGU
M255491,Male,12,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-month,No,Credit Card (automatic),169.94,No,WGU
N480736,Female,4,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),184.95,Yes,WGU
Y155823,Female,2,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),172.44,Yes,WGU
N16660,Female,8,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed Check,164.99,Yes,WGU
K339158,Female,4,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),194.97,Yes,WGU
L170558,Female,10,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic Check,172.47,Yes,WGU
L167261,Male,5,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit Card (automatic),182.48,No,WGU
N42375,Male,14,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),192.44,No,WGU
D426377,Male,1,Yes,Yes,None,No,Yes,No,No,Yes,Yes,One year,No,Electronic Check,230.13,Yes,WGU
P42965,Female,21,Yes,Yes,None,Yes,No,No,No,No,No,Two year,No,Mailed Check,115.0,No,WGU
H619362,Male,12,Yes,Yes,None,No,No,No,No,Yes,No,Two year,No,Electronic Check,137.47,No,WGU
E450808,Female,9,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Two year,No,Credit Card (automatic),167.46,No,WGU
O221751,Female,1,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,One year,Yes,Credit Card (automatic),159.96,No,WGU
C875335,Male,3,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic Check,162.47,No,WGU
L381786,Male,1,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed Check,222.65,Yes,WGU
E381260,Female,7,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed Check,222.63,Yes,WGU
T814609,Male,3,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit Card (automatic),162.47,Yes,WGU
D190616,Male,6,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank Transfer(automatic),152.47,No,WGU
H557046,Female,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank Transfer(automatic),147.46,No,WGU
F489040,Male,8,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed Check,114.95,No,WGU
H941657,Female,19,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank Transfer(automatic),114.95,No,WGU
D186284,Male,6,Yes,Yes,None,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic Check,175.02,Yes,WGU
B991216,Female,9,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic Check,197.49,No,WGU
K431455,Female,9,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),117.44,No,WGU
E55745,Female,24,Yes,No,Fiber Optic,No,No,No,Yes,No,No,One year,Yes,Bank Transfer(automatic),124.96,No,WGU
S715877,Male,4,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,225.15,Yes,WGU
J916027,Male,17,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank Transfer(automatic),147.46,No,WGU
T867131,Female,3,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed Check,124.96,No,WGU
L974545,Female,2,Yes,Yes,None,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,232.65,Yes,WGU
K788015,Female,2,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed Check,215.16,Yes,WGU
J54482,Male,6,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic Check,225.15,Yes,WGU
Z979359,Female,10,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed Check,154.99,No,WGU
Q615981,Female,16,Yes,Yes,None,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic Check,149.99,No,WGU
D860746,Female,10,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,One year,Yes,Bank Transfer(automatic),214.95,No,WGU
A493340,Male,2,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed Check,222.63,Yes,WGU
K998480,Female,10,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic Check,137.44,No,WGU
F820783,Male,4,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Two year,No,Electronic Check,149.96,Yes,WGU
X769374,Female,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),152.47,Yes,WGU
H429618,Female,8,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic Check,149.99,No,WGU
S866571,Nonbinary,11,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed Check,184.97,Yes,WGU
Q527870,Female,7,Yes,No,None,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic Check,142.49,No,WGU
Y706218,Male,3,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic Check,197.48,Yes,WGU
T228469,Male,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed Check,159.95,Yes,WGU
U913257,Female,6,No,No,Fiber Optic,No,No,Yes,No,No,No,Month-to-month,No,Credit Card (automatic),124.98,No,WGU
B639946,Female,3,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed Check,139.96,No,WGU
Z205002,Female,3,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic Check,182.45,Yes,WGU
J892510,Female,2,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank Transfer(automatic),275.13,Yes,WGU
B468086,Female,11,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic Check,149.96,No,WGU
L855218,Male,5,Yes,No,None,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic Check,152.49,Yes,WGU
L526170,Female,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank Transfer(automatic),92.46,No,WGU
E631245,Female,7,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Two year,No,Bank Transfer(automatic),152.48,No,WGU
X241764,Male,1,Yes,Yes,None,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed Check,197.52,Yes,WGU
U231980,Male,11,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Two year,No,Electronic Check,240.11,Yes,WGU
B346107,Female,13,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic Check,202.44,No,WGU
B239370,Male,1,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank Transfer(automatic),182.47,Yes,WGU
E145894,Female,12,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit Card (automatic),194.97,Yes,WGU
X942031,Male,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit Card (automatic),270.16,Yes,WGU
O91882,Female,22,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic Check,235.16,Yes,WGU
H879719,Female,7,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit Card (automatic),139.98,Yes,WGU
P370643,Male,4,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic Check,119.96,Yes,WGU
J777553,Female,16,Yes,No,None,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed Check,177.65,No,WGU
M234182,Male,7,Yes,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit Card (automatic),232.64,Yes,WGU
Y773120,Female,13,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-month,Yes,Bank Transfer(automatic),144.96,No,WGU
B105213,Male,2,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic Check,212.64,Yes,WGU
X984575,Female,12,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit Card (automatic),139.99,Yes,WGU
N851276,Male,2,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit Card (automatic),117.44,Yes,WGU
Q864563,Female,20,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank Transfer(automatic),172.51,No,WGU
C912709,Male,8,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,One year,Yes,Credit Card (automatic),192.44,Yes,WGU
I12585,Male,5,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic Check,194.97,Yes,WGU
Y780102,Male,15,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic Check,202.64,Yes,WGU
A553226,Female,5,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed Check,182.5,No,WGU
F116528,Female,2,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,Two year,No,Bank Transfer(automatic),172.44,No,WGU
V211089,Male,11,Yes,No,None,No,No,No,No,No,Yes,Two year,Yes,Credit Card (automatic),114.97,No,WGU
O209544,Male,15,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic Check,167.48,No,WGU
R40372,Male,5,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic Check,129.95,No,WGU
E772271,Male,11,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed Check,147.44,Yes,WGU
O841847,Female,4,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic Check,139.93,No,WGU
K755701,Male,7,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Credit Card (automatic),117.44,No,WGU
V660511,Male,13,Yes,No,None,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed Check,117.47,No,WGU
G292619,Female,3,Yes,No,None,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit Card (automatic),127.51,Yes,WGU
W903243,Female,8,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic Check,107.48,No,WGU
V385446,Female,5,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank Transfer(automatic),257.64,Yes,WGU
B388820,Male,8,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed Check,174.98,Yes,WGU
D741050,Male,9,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit Card (automatic),184.96,No,WGU
B142422,Male,17,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed Check,132.47,No,WGU
T628897,Male,4,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed Check,94.97,Yes,WGU
N333825,Female,22,Yes,No,None,No,No,No,No,Yes,No,Two year,No,Bank Transfer(automatic),104.96,No,WGU
F778893,Male,4,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic Check,182.47,Yes,WGU
T157033,Male,29,Yes,Yes,None,No,No,No,No,No,Yes,Two year,Yes,Bank Transfer(automatic),147.47,No,WGU
R673895,Female,10,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank Transfer(automatic),214.97,No,WGU
Q644143,Male,8,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank Transfer(automatic),214.95,Yes,WGU
F35398,Female,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank Transfer(automatic),129.95,No,WGU
S60656,Male,10,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank Transfer(automatic),147.46,No,WGU
X217671,Male,2,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic Check,154.98,Yes,WGU
